Straat,Coordinaten
't Steen,"[51.28905531779715, 5.035708146993531]"
Abergstraat,"[51.26166779641078, 5.11782818039572]"
Akkerpad,"[51.26457271108905, 5.081765585332801]"
Akkerstraat,"[51.26328931956041, 5.082679824077716]"
Anemoonlaan,"[51.27556044073858, 5.138190202448701]"
Anjerlaan,"[51.27378844667655, 5.150059090303069]"
Asberg,"[51.27211437826862, 5.091716344075537]"
Asbergpad,"[""FOUT, geen straat gevonden""]"
Beekakkers,"[51.29233013524647, 5.0475830191795295]"
Beekstraat,"[51.289326900000006, 5.053930149999999]"
Beemdenstraat,"[51.276182131374846, 5.113581415287965]"
Begonialaan,"[51.27635335, 5.1482684]"
Berg,"[""51.2782679"", ""5.0644914""]"
Bergenstraat,"[51.25425869276201, 5.077745235913162]"
Berkenlaan,"[51.26673906492177, 5.144005656477088]"
Beukenlaan,"[51.260408822579436, 5.084261545814024]"
Beverdonk,"[51.247943097659864, 5.028535299673822]"
Biezenstraat,"[51.27729263389882, 5.072391702738565]"
Bleek,"[51.2600635, 5.08516825]"
Bloemstraat,"[51.269238780684134, 5.0986756027447555]"
Blokmakerspad,"[51.264722728037626, 5.0828637028670345]"
Blokstraat,"[51.256020885779115, 5.083585020639434]"
Boekweitbaan,"[51.26889575281822, 5.095073334530407]"
Boesdijk,"[51.27415274469277, 5.091898590308744]"
Boesdijkhofpad,"[51.270885838557426, 5.085348951565402]"
Boesdijkhofstraat,"[51.27185955933369, 5.085171649188516]"
Boogstraat,"[51.27159918549279, 5.060970399262505]"
Boonhof,"[51.259204827605714, 5.084129995007167]"
Bosend,"[51.25080570168245, 5.075979042312642]"
Bosendsevoetweg,"[""FOUT, geen straat gevonden""]"
Bosstraat,"[51.25489721442705, 5.079011104611595]"
Brand,"[51.27613235976138, 5.124673956690279]"
Brasel,"[51.2415358, 5.0736358]"
Bremdreef,"[51.2686467, 5.14029395]"
Bremelshoef,"[51.27556579238927, 5.029448472025057]"
Broekstraat,"[51.288781354574844, 5.0566919085227875]"
Brug 1,"[51.27204375, 5.15384525]"
Buizerstraat,"[51.273760740944674, 5.121909409061765]"
Burchtstraat,"[51.26909362773865, 5.081083107997714]"
Dalialaan,"[51.2735416, 5.1481692500000005]"
De Werft,"[51.280666579437145, 5.052020976141244]"
Delstraat,"[51.27217355881596, 5.094397823046123]"
Den Elleboog,"[51.26931985417526, 5.029472136668563]"
Den Hoek,"[51.29712225, 5.0538032]"
Dennenstraat,"[51.254371886645124, 5.073502997534816]"
Desselsedijk,"[51.2597055, 5.10502555]"
Dielisstraatje,"[51.265722186264476, 5.085868379154405]"
Donkerstraat,"[51.27022730452078, 5.07447735441494]"
Driesstraat,"[51.26969963111509, 5.083308236928462]"
Duinberg,"[51.258520044722246, 5.065085969891402]"
Duinkerken,"[51.24972868362908, 5.061095229623319]"
Dwarsstraat,"[51.276123520708076, 5.116478165395403]"
Eesterstraat,"[51.27267437891758, 5.090960975328657]"
Eikenpad,"[51.27148593494686, 5.088405165655056]"
